ip.dsfield.dscp;ip.proto;ip.ttl;tcp.analysis.bytes_in_flight;tcp.analysis.push_bytes_sent;tcp.len;tcp.options.timestamp.tsecr;tcp.options.timestamp.tsval;tcp.port;tcp.stream;tcp.time_delta;tcp.time_relative;udp.port;udp.stream;udp.time_delta;udp.time_relative;pfcp.cause;pfcp.duration_measurement;pfcp.f_teid.teid;pfcp.flow_desc_len;pfcp.ie_len;pfcp.node_id_type;pfcp.pdn_type;pfcp.pdr_id;pfcp.precedence;pfcp.response_time;pfcp.response_to;pfcp.seid;pfcp.seqno;pfcp.source_interface;pfcp.user_id.imei;pfcp.volume_measurement.dlnop;tcp_opt_mss;tcp_opt_ts;tcp_opt_sack;tcp_opt_wscale;ip.flags.df;tcp.completeness.fin;tcp.flags.ack;tcp.flags.fin;tcp.flags.push;tcp.flags.reset;pfcp.apply_action.drop;pfcp.apply_action.forw;pfcp.f_teid_flags.ch_id;pfcp.ue_ip_address_flag.sd;ip.addr;ip.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;pfcp.f_teid.ipv4_addr;pfcp.outer_hdr_creation.teid;pfcp.ue_ip_addr_ipv4;tcp.checksum;udp.checksum;ip.dsfield_0x00;ip.dsfield_0xc0;ip.flags_0x00;pfcp.flags_0x21;pfcp.flags_nan;pfcp.flow_desc_permit out ip from any to assigned;pfcp.flow_desc_nan;pfcp.network_instance_access;pfcp.network_instance_nan;tcp.completeness.str_[ Null ];tcp.completeness.str_·FDAS·;tcp.completeness.str_·FDA··;tcp.completeness.str_··DAS·;tcp.completeness.str_··DA··;tcp.completeness.str_··D···;tcp.completeness.str_···AS·;tcp.completeness.str_····S·;tcp.completeness.str_nan;tcp.completeness.syn-ack_False;tcp.completeness.syn-ack_True;tcp.completeness.syn-ack_nan;tcp.flags_0x0002;tcp.flags_0x0004;tcp.flags_0x0011;tcp.flags_0x0012;tcp.flags_nan;tcp.flags.str_·······A··S·;tcp.flags.str_·······A···F;tcp.flags.str_·······A····;tcp.flags.str_·········R··;tcp.flags.str_··········S·;tcp.flags.str_nan;ip.opt.time_stamp;pfcp.time_of_first_packet;pfcp.end_time;pfcp.recovery_time_stamp
0.0;17.0;62.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.083039764;0.780073799;1.0;1754299630.0;1111.0;42.0;5.0;0.0;1.0;1.0;255.0;0.0003626099999999;570.5;0.0;14095.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;0.0;0.0;1.0;1.0;1;1;1;1;1;1;;11.0;7.0;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;64.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.000679788;0.780753587;1.0;1754299630.0;33738.0;42.0;5.0;0.0;1.0;2.0;255.0;0.000679788;21.0;2680.0;14095.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;;;0.0;;1;1;1;1;1;1;2.0;;;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;62.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.019982313;0.8007359;1.0;1754299630.0;1111.0;42.0;50.0;0.0;1.0;1.0;255.0;0.0003626099999999;570.5;2059.0;14096.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;0.0;1.0;;;1;1;1;1;1;1;;11.0;;;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;64.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.000303524;0.801039424;1.0;1754299630.0;1111.0;42.0;1.0;0.0;1.0;1.0;255.0;0.000303524;23.0;2680.0;14096.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;;;;;1;1;1;1;1;1;;;;;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;62.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.07971732;0.880756744;1.0;1754299630.0;1111.0;42.0;5.0;0.0;1.0;1.0;255.0;0.0003626099999999;570.5;0.0;14097.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;0.0;0.0;1.0;1.0;1;1;1;1;1;1;;11.0;7.0;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;64.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.004323631;0.885080375;1.0;1754299630.0;47730.0;42.0;5.0;0.0;1.0;2.0;255.0;0.004323631;25.0;1096.0;14097.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;;;0.0;;1;1;1;1;1;1;2.0;;;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;62.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.017227788;0.902308163;1.0;1754299630.0;1111.0;42.0;5.0;0.0;1.0;1.0;255.0;0.0003626099999999;570.5;0.0;14098.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;0.0;0.0;1.0;1.0;1;1;1;1;1;1;;11.0;7.0;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;62.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;7.4972e-05;0.902383135;1.0;1754299630.0;1111.0;42.0;5.0;0.0;1.0;1.0;255.0;0.0003626099999999;570.5;0.0;14099.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;0.0;0.0;1.0;1.0;1;1;1;1;1;1;;11.0;7.0;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;64.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.003465591;0.905848726;1.0;1754299630.0;26990.0;42.0;5.0;0.0;1.0;2.0;255.0;0.003540563;27.0;340.0;14098.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;;;0.0;;1;1;1;1;1;1;2.0;;;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
0.0;17.0;64.0;38.5;7.0;0.0;710282086.5;772284736.5;64200.0;490.0;0.0;0.0;8805.0;0.0;0.000669889;0.906518615;1.0;1754299630.0;50506.0;42.0;5.0;0.0;1.0;2.0;255.0;0.00413548;28.0;3101.0;14099.0;1.0;4370816125816151.0;32.0;0.0;0.0;0.0;0.0;True;;;;;;;;0.0;;1;1;1;1;1;1;2.0;;;;7.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;-9223372037;-9223372037;-9223372037
